constituency_no,constituency_name,constituency_slug,district,candidate_count_2026,party_count_2026,independent_count_2026,top_parties_2026,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,margin_2021,turnout_2021,voters_total_2026,voters_male_2026,voters_female_2026,voters_third_gender_2026,current_mla,current_mla_party,source_url,source_date
157,Bhuvanagiri,bhuvanagiri,Cuddalore,13,7,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Arunmozhithevan. A,ADMK,Saravanan. Durai.K,DMK,8259,78.57,230968,114785,116164,19,Arunmozhithevan. A,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
158,Chidambaram,chidambaram,Cuddalore,11,7,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:5",K.A. Pandian,ADMK,S. Abdul Rahman,IUML,16937,71.93,229136,112664,116443,29,K.A. Pandian,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
159,Kattumannarkoil,kattumannarkoil,Cuddalore,11,10,2,"NTK:1, TVK:1, BSP:1, IND:2, AIJMK:1",Sinthanai Selvan,VCK,N. Murugumaran,ADMK,10565,75.87,224565,111691,112864,10,Sinthanai Selvan,VCK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
160,Sirkazhi,sirkazhi,Mayiladuthurai,10,10,1,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Panneerselvam,DMK,P.V.Bharathi,ADMK,12148,74.91,,,,,Panneerselvam,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
161,Mayiladuthurai,mayiladuthurai,Mayiladuthurai,20,10,11,"INC:1, NTK:1, TVK:1, BSP:1, IND:11",Rajakumar.S,INC,Palanisamy.A,PMK,2742,70.14,232618,114613,117979,26,Rajakumar.S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
162,Poompuhar,poompuhar,Mayiladuthurai,13,7,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Nivedha M. Murugan,DMK,S.Pavunraj,ADMK,3299,75.19,257129,127071,130050,8,Nivedha M. Murugan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
163,Nagapattinam,nagapattinam,Nagapattinam,13,8,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",J. Mohamed Shanavas,VCK,Thanka.Kathiravan,ADMK,7238,71.97,172979,84493,88464,22,J. Mohamed Shanavas,VCK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
164,Kilvelur,kilvelur,Nagapattinam,7,7,1,"NTK:1, TVK:1, IND:1, AJPK:1, CPOIM:1",Nagaimaali V P,CPM,Vadivel Ravanan  S,PMK,16985,79.43,168934,83392,85535,7,Nagaimaali V P,CPM,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
165,Vedaranyam,vedaranyam,Nagapattinam,11,6,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",O.S.Manian,ADMK,S.K.Vetharathinam,DMK,12329,80.6,186034,91735,94299,0,O.S.Manian,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
166,Thiruthuraipoondi,thiruthuraipoondi,Tiruvarur,9,7,3,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:3",Marimuthu K,CPI,Suresh Kumar C,ADMK,30068,76.74,,,,,Marimuthu K,CPI,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
167,Mannargudi,mannargudi,Tiruvarur,15,10,6,"DMK:1, NTK:1, TVK:1, BSP:1, IND:6",Rajaa T R B,DMK,Rajamanickam  Siva,ADMK,37393,74.34,231935,112530,119401,4,Rajaa T R B,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
168,Thiruvarur,thiruvarur,Tiruvarur,8,7,2,"DMK:1, BJP:1, NTK:1, TVK:1, IND:2",Kalaivanan  Poondi  K.,DMK,Pannerselvam A.N.R.,ADMK,51174,73.25,257892,126054,131818,20,Kalaivanan  Poondi  K.,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
169,Nannilam,nannilam,Tiruvarur,14,8,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Kamaraj R,ADMK,Jothiraman  S,DMK,4424,81.08,264462,131094,133352,16,Kamaraj R,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
170,Thiruvidaimarudur,thiruvidaimarudur,Thanjavur,14,8,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1","Chezhiaan,  Govi.",DMK,"Union Veeramani, S.",ADMK,10680,75.76,,,,,"Chezhiaan,  Govi.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
171,Kumbakonam,kumbakonam,Thanjavur,13,7,7,"DMK:1, BJP:1, NTK:1, TVK:1, IND:7","Anbalagan, G.",DMK,"Srithar Vandayar, G.M.",ADMK,21383,71.45,251868,122383,129469,16,"Anbalagan, G.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
172,Papanasam,papanasam,Thanjavur,13,8,6,"AIADMK:1, NTK:1, TVK:1, IND:6, CPOIMLL:1","Dr.Jawahirullah, M.H.",DMK,"Gopinathan, K.",ADMK,16273,74.76,254652,123838,130791,23,"Dr.Jawahirullah, M.H.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
173,Thiruvaiyaru,thiruvaiyaru,Thanjavur,13,8,6,"DMK:1, NTK:1, TVK:1, IND:6, AMMK:1",Durai.Chandrasekaran,DMK,"Venkatesan, S.",BJP,53650,78.11,256377,125357,131000,20,Durai.Chandrasekaran,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
174,Thanjavur,thanjavur,Thanjavur,11,7,5,"DMK:1, BJP:1, NTK:1, TVK:1, IND:5","Neelamegam, T.K.G.",DMK,"Arivudainambi, V.",ADMK,47149,65.72,249064,118648,130369,47,"Neelamegam, T.K.G.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
175,Orathanadu,orathanadu,Thanjavur,9,7,3,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:3","Vaithilingam, R.",ADMK,"Ramchandran, M.",DMK,28835,78.29,,,,,"Vaithilingam, R.",ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
176,Pattukkottai,pattukkottai,Thanjavur,11,6,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6","Annadurai, K.",DMK,"Rengarajan, N.R.",ADMK,25269,71.66,240954,115354,125580,20,"Annadurai, K.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
177,Peravurani,peravurani,Thanjavur,10,8,3,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:3","Ashokkumar, N.",DMK,"Thirugnanasambandam, S.V.",ADMK,23503,77.02,212826,104268,108543,15,"Ashokkumar, N.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
178,Gandarvakkottai,gandarvakkottai,Pudukkottai,10,6,5,"BJP:1, NTK:1, TVK:1, IND:5, CPOIM:1",M.Chinnadurai,CPM,S.Jayabharathi,ADMK,12721,74.45,,,,,M.Chinnadurai,CPM,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
179,Viralimalai,viralimalai,Pudukkottai,26,8,19,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:19",Vijaya Basker C,ADMK,Palaniappan,DMK,23598,85.43,223084,110011,113040,33,Vijaya Basker C,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
180,Pudukkottai,pudukkottai,Pudukkottai,30,10,21,"DMK:1, BJP:1, NTK:1, TVK:1, IND:21",V . Muthuraja,DMK,Karthik Thondaiman,ADMK,13001,72.94,223928,109962,113943,23,V . Muthuraja,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
181,Thirumayam,thirumayam,Pudukkottai,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",S.Regupathy,DMK,P.K.Vairamuthu,ADMK,1382,75.85,219279,107006,112270,3,S.Regupathy,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
182,Alangudi,alangudi,Pudukkottai,14,8,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Siva.V.Meyyanathan,DMK,Dharma Thangavel,ADMK,25847,78.47,210296,103987,106309,0,Siva.V.Meyyanathan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
183,Aranthangi,aranthangi,Pudukkottai,15,6,10,"BJP:1, INC:1, NTK:1, TVK:1, IND:10",Ramachandran T,INC,Rajanayagam M,ADMK,30893,70.21,,,,,Ramachandran T,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
184,Karaikudi,karaikudi,Sivaganga,25,10,16,"INC:1, NTK:1, TVK:1, BSP:1, IND:16",S.Mangudi,INC,H.Raja,BJP,21589,66.23,303371,148087,155256,28,S.Mangudi,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
185,Tiruppattur,tiruppattur,Sivaganga,15,6,10,"DMK:1, BJP:1, NTK:1, TVK:1, IND:10",Pr. Senthilnathan,ADMK,S. Gunasekaran,CPI,11253,66.29,276156,135113,141039,4,Pr. Senthilnathan,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
186,Sivaganga,sivaganga,Sivaganga,17,10,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Tamilarasi A.,DMK,Nagarajan S.,ADMK,14091,72.05,257616,126565,131048,3,Tamilarasi A.,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
187,Manamadurai,manamadurai,Madurai,14,9,6,"DMK:1, BJP:1, NTK:1, TVK:1, IND:6",Periyapullan @ Selvam  P.,ADMK,Ravichandran  T.,INC,35162,74.23,227789,113091,114687,11,Periyapullan @ Selvam  P.,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
188,Melur,melur,Madurai,13,8,6,"AIADMK:1, INC:1, NTK:1, TVK:1, IND:6",Moorthy P,DMK,Gopalakrishnan R,ADMK,49604,71.34,330993,161361,169579,53,Moorthy P,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
189,Madurai East,madurai-east,Madurai,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",Venkatesan A,DMK,Manickam K,ADMK,17045,79.49,212502,104246,108243,13,Venkatesan A,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
190,Sholavandan,sholavandan,Madurai,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",Thalapathi G,DMK,Saravanan P,BJP,22916,63.6,218719,106263,112410,46,Thalapathi G,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
191,Madurai North,madurai-north,Madurai,13,7,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Boominathan.M,DMK,Saravanan. S.S,ADMK,6515,63.8,177605,87179,90378,48,Boominathan.M,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
192,Madurai South,madurai-south,Madurai,6,6,1,"DMK:1, BJP:1, NTK:1, TVK:1, IND:1",Palanivel Thiaga Rajan,DMK,Jothi Muthuramalingam N,ADMK,34176,61.03,196856,95632,101198,26,Palanivel Thiaga Rajan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
193,Madurai Central,madurai-central,Madurai,12,7,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Raju. K,ADMK,Chinnammal. C,DMK,9121,65.12,271341,133116,138214,11,Raju. K,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
194,Madurai West,madurai-west,Madurai,14,7,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8","Rajanchellappa, V.V.",ADMK,Ponnuthai,CPM,29489,72.73,307783,150596,157157,30,"Rajanchellappa, V.V.",ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
195,Thiruparankundram,thiruparankundram,Madurai,15,11,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:5",Udhayakumar R B,ADMK,Manimaran M,DMK,14087,78.13,259225,125756,133461,8,Udhayakumar R B,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
196,Thirumangalam,thirumangalam,Madurai,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",Ayyappan P,ADMK,Kathiravan P V,DMK,7477,73.82,264141,131411,132724,6,Ayyappan P,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
197,Usilampatti,usilampatti,Theni,12,7,6,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",A.Maharajan,DMK,A.Logirajan,ADMK,8538,74.85,254549,124591,129928,30,A.Maharajan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
198,Andipatti,andipatti,Theni,18,11,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",K.S.Saravanakumaar,DMK,M Murugan,ADMK,21321,69.94,263547,128368,135070,109,K.S.Saravanakumaar,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
199,Periyakulam,periyakulam,Theni,13,7,7,"NTK:1, TVK:1, IND:7, AMMK:1, PT:1",O.Panneerselvam,ADMK,Thangatamilselvan,DMK,11021,76.3,261631,126856,134760,15,O.Panneerselvam,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
200,Bodinayakanur,bodinayakanur,Theni,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",N.Ramakrishnan,DMK,Syedukhan.S.P.M,ADMK,42413,69.51,253646,122496,131129,21,N.Ramakrishnan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
201,Cumbum,cumbum,Virudhunagar,19,7,13,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:13",Thangapandian S.,DMK,Rajenthrabhalaji K.T,ADMK,3898,73.89,212220,103236,108951,33,Thangapandian S.,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
202,Rajapalayam,rajapalayam,Virudhunagar,22,8,15,"DMK:1, BJP:1, NTK:1, TVK:1, IND:15","Manraj, E.M.",ADMK,"Madhavarao, P.S.W.",INC,12738,73.14,222367,108109,114218,40,"Manraj, E.M.",ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
203,Srivilliputhur,srivilliputhur,Virudhunagar,14,8,7,"AIADMK:1, NTK:1, TVK:1, IND:7, AIPTMMK:1","Raghuraman,  A.R.R.",DMK,"Ravichandhran, R.K.",ADMK,11179,75.17,227963,110693,117207,63,"Raghuraman,  A.R.R.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
204,Sattur,sattur,Virudhunagar,22,10,13,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",Ashokan.G,INC,Lakshmi Ganesan,ADMK,17319,70.16,225461,109420,116013,28,Ashokan.G,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
205,Sivakasi,sivakasi,Virudhunagar,14,9,6,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Seenivasan A.R.R,DMK,Pandurangan G,BJP,21339,71.27,198616,96436,102141,39,Seenivasan A.R.R,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
206,Virudhunagar,virudhunagar,Virudhunagar,15,8,8,"AIADMK:1, NTK:1, TVK:1, IND:8, DMDK:1",K.K.S.S.R.Ramachandran,DMK,Vaigaichelvan,ADMK,39034,75.6,,,,,K.K.S.S.R.Ramachandran,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
207,Aruppukkottai,aruppukkottai,Virudhunagar,25,10,16,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:16",Thangam Thenarasu,DMK,Rajasekar S,ADMK,60992,77.46,204293,100645,103634,14,Thangam Thenarasu,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
208,Tiruchuli,tiruchuli,Ramanathapuram,23,10,14,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:14",Murugesan S,DMK,Sadhan Prabhakar N,ADMK,13285,70.59,233433,115701,117714,18,Murugesan S,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
209,Paramakudi,paramakudi,Ramanathapuram,12,7,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",Karumanickam,INC,K C Animuthu,ADMK,13852,68.72,282121,140103,141997,21,Karumanickam,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
210,Tiruvadanai,tiruvadanai,Ramanathapuram,21,10,12,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Katharbatcha Muthuramalingam,DMK,D.Kuppuramu,BJP,50479,68.81,310165,152412,157740,13,Katharbatcha Muthuramalingam,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
211,Ramanathapuram,ramanathapuram,Ramanathapuram,13,8,6,"DMK:1, BJP:1, NTK:1, TVK:1, IND:6",R.S.Rajakannappan,DMK,Keerthika,ADMK,20721,70.29,,,,,R.S.Rajakannappan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
212,Mudhukulathur,mudhukulathur,Thoothukudi,20,11,10,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:10",Markandayan V,DMK,Chinnappan P,ADMK,38549,76.52,203732,99913,103804,15,Markandayan V,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
213,Vilathikulam,vilathikulam,Thoothukudi,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",P.Geetha Jeevan,DMK,Sdr Vijayaseelan,ADMK,50310,65.07,248300,120614,127623,63,P.Geetha Jeevan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
214,Thoothukkudi,thoothukkudi,Thoothukudi,15,11,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:5",Anitha R. Radhakrishnan,DMK,Radhakrishnan M,ADMK,25263,70.04,230702,112367,118305,30,Anitha R. Radhakrishnan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
215,Tiruchendur,tiruchendur,Thoothukudi,13,9,5,"DMK:1, BJP:1, NTK:1, TVK:1, IND:5",Amirtharaj .S,INC,S.P.Shunmuganathan,ADMK,17372,72.34,212885,105099,107782,4,Amirtharaj .S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
216,Srivaikuntam,srivaikuntam,Thoothukudi,15,12,4,"AIADMK:1, INC:1, NTK:1, TVK:1, IND:4",Shunmugaiah C,DMK,Mohan P,ADMK,8510,69.82,240988,117432,123502,54,Shunmugaiah C,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
217,Ottapidaram,ottapidaram,Thoothukudi,13,9,5,"DMK:1, NTK:1, TVK:1, IND:5, AMMK:1",Kadambur Raju,ADMK,Ttv Dhinakaran,AMMK,12403,67.43,240017,116317,123673,27,Kadambur Raju,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
218,Kovilpatti,kovilpatti,Tenkasi,21,10,12,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Raja E,DMK,Rajalakshmi V M,ADMK,5297,71.48,236532,114876,121639,17,Raja E,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
219,Sankarankovil,sankarankovil,Tenkasi,20,13,8,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1","Sadhan Thirumalaikumar, Doctor.T",DMK,Manoharan A,ADMK,2367,71.87,227369,110960,116396,13,"Sadhan Thirumalaikumar, Doctor.T",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
220,Vasudevanallur,vasudevanallur,Tenkasi,18,10,9,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",C.Krishnamurali,ADMK,K.A.M.Muhammed Abubacker,IUML,24349,70.35,267517,132228,135272,17,C.Krishnamurali,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
221,Kadayanallur,kadayanallur,Tenkasi,22,11,12,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Palani Nadar.S,INC,Selva Mohandas Pandian.S,ADMK,370,72.4,279585,136260,143223,102,Palani Nadar.S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
222,Tenkasi,tenkasi,Tenkasi,22,11,12,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Paul Manoj Pandian,ADMK,Dr.Poongothai Aladi Aruna,DMK,3539,77.4,253408,123739,129650,19,Paul Manoj Pandian,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
223,Alangulam,alangulam,Tirunelveli,13,8,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",Nainar Nagenthran,BJP,"Lakshmanan,A.L.S.",DMK,23107,66.91,273520,132511,140929,80,Nainar Nagenthran,BJP,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
224,Tirunelveli,tirunelveli,Tirunelveli,20,12,9,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:9",E.Subaya,ADMK,R.Avudaiappan,DMK,16915,72.03,225714,109384,116318,12,E.Subaya,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
225,Ambasamudram,ambasamudram,Tirunelveli,5,5,0,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Abdul Wahab .M,DMK,Gerald .G,ADMK,52141,57.76,,,,,Abdul Wahab .M,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
226,Palayamkottai,palayamkottai,Tirunelveli,17,8,10,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:10",Ruby R Manoharan,INC,Ganesaraja,ADMK,16486,68.59,254420,125276,129130,14,Ruby R Manoharan,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
227,Nanguneri,nanguneri,Tirunelveli,25,12,14,"INC:1, NTK:1, TVK:1, BSP:1, IND:14",M.Appavu,DMK,I.S.Inbadurai,ADMK,5925,68.08,244480,120458,124000,22,M.Appavu,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
228,Radhapuram,radhapuram,Kanyakumari,23,9,15,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",Thalavai Sundaram N.,ADMK,Austin S.,DMK,16213,75.19,286968,141230,145643,95,Thalavai Sundaram N.,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
229,Kanniyakumari,kanniyakumari,Kanyakumari,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",Gandhi M.R.,BJP,Suresh Rajan N.,DMK,11669,67.06,257022,125873,131139,10,Gandhi M.R.,BJP,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
230,Nagercoil,nagercoil,Kanyakumari,20,11,10,"DMK:1, BJP:1, NTK:1, TVK:1, IND:10",Prince J.G.,INC,Ramesh P.,BJP,24832,67.27,,,,,Prince J.G.,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
231,Colachal,colachal,Kanyakumari,13,11,3,"BJP:1, INC:1, NTK:1, TVK:1, BSP:1","Mano Thangaraj, T.",DMK,"John Thankam, D.",ADMK,26885,70.08,234056,116895,117142,19,"Mano Thangaraj, T.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
232,Padmanabhapuram,padmanabhapuram,Kanyakumari,11,8,4,"BJP:1, NTK:1, TVK:1, IND:4, CPOIM:1",Vijayadharani S,INC,Jayaseelan R,BJP,28669,66.83,225219,111990,113226,3,Vijayadharani S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
233,Vilavancode,vilavancode,Kanyakumari,14,9,6,"BJP:1, INC:1, NTK:1, TVK:1, IND:6",Rajesh Kumar  S,INC,Jude Dev   K.V,ADMK,55400,65.87,243837,123143,120678,16,Rajesh Kumar  S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
234,Killiyoor,killiyoor,Kanyakumari,13,8,6,"BJP:1, INC:1, NTK:1, TVK:1, IND:6",Rajesh Kumar  S,INC,Jude Dev   K.V,ADMK,55400,65.87,243837,123143,120678,16,Rajesh Kumar  S,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
